animal_ID,exp. ID,date,water start,water end,ad lib start,ad lib end,,,,,,,,,,
DO08,Dammy,11/05/2019,15:37,16:37,,,,,,,,,,,,
VP07,Viktor,11/05/2019,15:37,16:37,,,,,,,,,,,,
VP08,Viktor,11/05/2019,15:37,16:37,,,,,,,,,,,,
AA01,Athena,11/05/2019,15:37,16:37,,,,,,,,,,,,
AA02,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO01,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO02,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC01,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC02,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP01,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP02,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA03,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA04,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO03,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO04,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC03,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC04,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP03,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP04,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA05,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA06,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO05,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO06,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC05,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC06,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP05,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP06,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA07,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA08,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO07,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO08,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP07,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP08,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA01,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA02,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO01,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO02,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC01,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC02,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP01,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP02,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA03,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA04,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO03,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO04,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC03,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC04,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP03,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP04,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA05,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA06,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO05,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO06,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC05,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
SC06,Sharbat,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP05,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP06,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA07,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA08,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO07,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
DO08,Dammy,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP07,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
VP08,Viktor,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA01,Athena,12/05/2019,15:00,16:00,,,,,,,,,,,,
AA02,Athena,13/05/2019,13:31,14:31,,,,,,,,,,,,
DO01,Dammy,13/05/2019,13:31,14:31,,,,,,,,,,,,
DO02,Dammy,13/05/2019,13:31,14:31,,,,,,,,,,,,
SC01,Sharbat,13/05/2019,13:31,14:31,,,,,,,,,,,,
SC02,Sharbat,13/05/2019,13:31,14:31,,,,,,,,,,,,
VP01,Viktor,13/05/2019,13:31,14:31,,,,,,,,,,,,
VP02,Viktor,13/05/2019,13:31,14:31,,,,,,,,,,,,
AA03,Athena,13/05/2019,13:31,14:31,,,,,,,,,,,,
AA04,Athena,13/05/2019,13:31,14:31,,,,,,,,,,,,
DO03,Dammy,13/05/2019,13:31,14:31,,,,,,,,,,,,
DO04,Dammy,13/05/2019,13:31,14:31,,,,,,,,,,,,
SC03,Sharbat,13/05/2019,13:31,14:31,,,,,,,,,,,,
SC04,Sharbat,13/05/2019,16:31,17:31,,,,,,,,,,,,
VP03,Viktor,13/05/2019,16:31,17:31,,,,,,,,,,,,
VP04,Viktor,13/05/2019,16:31,17:31,,,,,,,,,,,,
AA05,Athena,13/05/2019,16:31,17:31,,,,,,,,,,,,
AA06,Athena,13/05/2019,16:31,17:31,,,,,,,,,,,,
DO05,Dammy,13/05/2019,16:31,17:31,,,,,,,,,,,,
DO06,Dammy,13/05/2019,16:31,17:31,,,,,,,,,,,,
SC05,Sharbat,13/05/2019,16:31,17:31,,,,,,,,,,,,
SC06,Sharbat,13/05/2019,16:31,17:31,,,,,,,,,,,,
VP05,Viktor,13/05/2019,16:31,17:31,,,,,,,,,,,,
VP06,Viktor,13/05/2019,16:31,17:31,,,,,,,,,,,,
AA07,Athena,13/05/2019,16:31,17:31,,,,,,,,,,,,
AA08,Athena,13/05/2019,17:57,18:57,,,,,,,,,,,,
DO07,Dammy,13/05/2019,17:57,18:57,,,,,,,,,,,,
DO08,Dammy,13/05/2019,17:57,18:57,,,,,,,,,,,,
VP07,Viktor,13/05/2019,17:57,18:57,,,,,,,,,,,,
VP08,Viktor,13/05/2019,17:57,18:57,,,,,,,,,,,,
AA01,Athena,13/05/2019,17:57,18:57,,,,,,,,,,,,
AA02,Athena,14/05/2019,12:04,13:04,,,,,,,,,,,,
DO01,Dammy,14/05/2019,12:04,13:04,,,,,,,,,,,,
DO02,Dammy,14/05/2019,12:04,13:04,,,,,,,,,,,,
SC01,Sharbat,14/05/2019,12:04,13:04,,,,,,,,,,,,
