file,experimenter,animal_id,date,time,right_trials,left_trials
VP01_190425_ASV.mat,viktor,VP01,25-Apr-2019,13:28:31,55,57
VP01_190426_ASV.mat,viktor,VP01,26-Apr-2019,11:00:07,63,57
VP01_190429_ASV.mat,viktor,VP01,29-Apr-2019,13:17:24,70,57
VP01_190430_ASV.mat,viktor,VP01,30-Apr-2019,11:48:51,68,50
VP01_190501_ASV.mat,viktor,VP01,01-May-2019,11:44:09,52,66
VP01_190502_ASV.mat,viktor,VP01,02-May-2019,11:53:21,45,51
